query,latency_ms
0,173.639
1,1750.404
10,2773.038
100,3999.723
101,3653.71
102,140.175
103,231.531
104,466.71
105,1481.682
106,153.584
107,398.724
108,1548.579
109,1966.112
11,3172.163
110,481.573
111,268.729
112,5635.685
113,246.626
114,2715.593
115,895.096
116,475.971
117,165.335
118,6856.929
119,274.739
12,444.343
120,167.208
121,3284.404
122,7456.971
123,2475.917
124,175.596
125,392.463
126,1814.18
127,460.181
128,1601.662
129,304.574
13,112205.692
130,252.532
131,321.52
132,2648.623
133,4280.838
134,10154.11
135,187.224
136,3635.116
137,2946.132
138,189.505
139,402.297
14,5927.08
140,258.407
141,5119.006
142,198.318
143,4727.626
144,26587.201
145,1923.609
146,10397.118
147,2788.188
148,1277.652
149,207.227
15,428.997
150,10310.374
151,7842.291
152,1817.549
153,3416.386
154,9532.648
155,1660.293
156,1652.419
157,13225.722
158,2322.244
159,5285.894
16,605.975
160,683.103
161,3803.755
162,7838.871
163,11494.5
164,3387.405
165,2632.17
166,455.476
167,10622.113
168,2777.304
169,1462.871
17,1521.301
170,2636.355
171,544.759
172,401.72
173,6362.556
174,3654.28
175,1145.313
176,1715.717
177,197.757
178,1503.374
179,1436.339
18,433.012
180,6921.645
181,3727.909
182,1568.814
183,357.837
184,330.497
185,345.181
186,2164.127
187,9907.487
188,364.075
189,420.32
19,1739.723
190,9991.559
191,2914.345
192,397.282
193,1235.005
194,676.18
195,4927.269
196,132.859
197,230.074
198,266998.364
199,1699.545
2,6271.806
20,277.74
21,3555.334
22,18870.635
23,1596.121
24,62721.569
25,4022.043
26,1591.983
27,1560.185
28,480924.796
29,248.695
3,8628.742
30,1996.278
31,37291.142
32,1581.181
33,3635.617
34,3987.41
35,1687.346
36,161.783
37,190.851
38,2784.245
39,244.365
4,5105.534
40,147.445
41,1406.453
42,2430.914
43,87640.787
44,10502.196
45,1622.682
46,5188.759
47,3234.456
48,469.533
49,155.069
5,3190.335
50,1202.028
51,3703.145
52,1761.128
53,6940.836
54,163.943
55,824.296
56,349.716
57,174.524
58,249.249
59,29055.707
6,181.188
60,378.675
61,4024.935
62,357.983
63,1710883.816
64,3668.004
65,1746.674
66,1654.152
67,276.471
68,429.561
69,1614.976
7,20746.168
70,7666.768
71,295.953
72,292.428
73,523.208
74,1694.216
75,273.964
76,42767.832
77,514.702
78,55767.894
79,51380.479
8,273.687
80,5699.333
81,299.264
82,1604.518
83,2427.59
84,199.031
85,252.824
86,203.373
87,306.016
88,7692.577
89,303.697
9,1219.801
90,2700.444
91,343.502
92,215.441
93,2330.799
94,370.138
95,237.796
96,164.301
97,2699.485
98,472.127
99,3509.96
all,3447013.863000001
