query,latency_ms
0,1139.742
1,1889.687
10,6572.568
100,1221.247
101,1096.457
102,2657.286
103,2332.894
104,824.555
105,2878.185
106,1850.998
107,8768.585
108,25762.918
109,1874.43
11,22259.626
110,1645.183
111,756.272
112,1104.755
113,912.553
114,411.589
115,4620.002
116,2634.696
117,23765.026
118,2524.318
119,832.128
12,812.387
120,6152.22
121,2660.377
122,509.693
123,890.64
124,464.549
125,2805.81
126,20869.259
127,28151.372
128,2438.122
129,1785.828
13,1049.428
130,2354.581
131,967.906
132,515.603
133,5317.558
134,4752.813
135,7836.91
136,6178.522
137,8445.395
138,2175.205
139,951.278
14,3353.444
140,2868.974
141,3087.724
142,27264.542
143,3031.591
144,2254.794
145,1081.899
146,572.561
147,2087.289
148,2969.379
149,744.737
15,796.403
150,8673.926
151,1224.259
152,1126.168
153,5114.467
154,3818.152
155,1104.205
156,2965.038
157,7228.686
158,4809.672
159,4542.99
16,4366.189
160,1941.457
161,1605.233
162,1823.812
163,730.306
164,596.301
165,13085.088
166,606.216
167,775.922
168,544.751
169,23394.772
17,641.847
170,2278.776
171,2270.617
172,19436.05
173,654.757
174,2193.871
175,1738.197
176,2183.277
177,690.96
178,7103.207
179,389.818
18,4204.714
180,4478.401
181,1956.488
182,507.323
183,919.324
184,1938.296
185,23707.577
186,4587.424
187,1235.766
188,9617.288
189,4946.004
19,1759.556
190,416.657
191,465.238
192,1291.914
193,4700.304
194,22884.077
195,1275.685
196,1205.242
197,1831.004
198,2492.598
199,6359.259
2,1660.22
20,618.794
21,2099.267
22,715.156
23,679.53
24,1909.54
25,1995.182
26,831.857
27,702.719
28,10262.719
29,1446.311
3,7404.192
30,3119.595
31,1250.964
32,2043.99
33,2970.499
34,1191.519
35,3543.891
36,641.463
37,703.926
38,2953.66
39,3079.32
4,1301.218
40,1034.173
41,736.256
42,2382.635
43,2829.332
44,805.164
45,1175.378
46,27613.637
47,4218.6
48,441.841
49,450.217
5,2303.38
50,1027.74
51,4793.521
52,489.955
53,5408.643
54,617.629
55,2349.243
56,1096.418
57,769.189
58,4327.424
59,2865.562
6,1188.803
60,15529.516
61,541.605
62,934.919
63,1878.378
64,698.093
65,1765.212
66,2858.627
67,923.594
68,16612.387
69,1921.707
7,13743.471
70,423.604
71,5051.792
72,368.782
73,550.379
74,626.089
75,10038.59
76,2083.035
77,27350.399
78,6882.467
79,1069.692
8,3124.719
80,706.607
81,923.144
82,445.916
83,672.218
84,2866.585
85,601.496
86,662.968
87,648.666
88,516.541
89,1859.733
9,773.623
90,10654.345
91,2241.82
92,1679.058
93,3942.978
94,8676.617
95,1733.696
96,6264.813
97,1153.13
98,3121.279
99,2770.282
all,800916.4629999994
