query,latency_ms
0,1757.282
1,157.129
10,1442.492
100,1537.034
101,93.427
102,1450.658
103,1908.034
104,1400.179
105,1445.455
106,820.286
107,1545.66
108,1452.048
109,945.243
11,138.023
110,907.817
111,1416.828
112,1548.498
113,1476.943
114,135.456
115,8477.339
116,1508.325
117,90.201
118,1441.004
119,1399.759
12,1872.115
120,1371.571
121,1093.16
122,2476.005
123,1406.234
124,2328.805
125,1025.793
126,1358.142
127,6170.098
128,832.453
129,1050.332
13,1439.721
130,1401.623
131,1410.825
132,3059.97
133,1425.157
134,1870.208
135,1959.538
136,2599.304
137,794.929
138,5880.638
139,2307.011
14,1984.359
140,1423.927
141,1577.721
142,1454.242
143,857.296
144,1451.842
145,141.535
146,1909.961
147,1477.643
148,994.999
149,2359.559
15,1533.365
150,1448.229
151,1426.762
152,1413.545
153,167.532
154,1461.202
155,1459.178
156,8311.079
157,2608.773
158,1500.084
159,2251.617
16,1441.932
160,169.662
161,1957.553
162,1344.116
163,2486.793
164,1467.028
165,1011.879
166,1405.625
167,1506.329
168,838.657
169,2404.59
17,1379.334
170,1402.693
171,889.032
172,1376.722
173,1459.743
174,1436.549
175,1372.828
176,813.59
177,3095.43
178,849.603
179,8316.838
18,1477.402
180,831.58
181,2790.563
182,1401.388
183,1437.285
184,1466.545
185,165.159
186,1480.171
187,2553.512
188,8267.619
189,1403.904
19,1529.894
190,829.117
191,145.345
192,861.028
193,1034.061
194,189.645
195,821.713
196,2556.034
197,1427.499
198,1492.209
199,4967.672
2,1526.581
20,1486.127
21,1511.495
22,1400.859
23,6307.606
24,1606.58
25,869.438
26,895.754
27,376.732
28,72.292
29,271.809
3,139.604
30,1554.016
31,1439.365
32,80.971
33,6261.884
34,1503.456
35,1424.107
36,839.885
37,1722.689
38,10972.632
39,137.392
4,1383.386
40,1454.103
41,1462.636
42,859.6
43,784.983
44,1378.886
45,2278.551
46,1400.583
47,1364.696
48,1365.781
49,2503.1
5,2792.163
50,1042.748
51,1517.302
52,2746.367
53,841.228
54,6946.123
55,983.333
56,2356.154
57,919.673
58,779.179
59,1598.837
6,1481.903
60,7098.521
61,1433.599
62,1928.797
63,6482.36
64,8410.705
65,58.143
66,1480.381
67,1959.595
68,6402.61
69,2720.056
7,1519.074
70,1976.843
71,996.306
72,1040.055
73,1405.676
74,1741.144
75,1523.287
76,138.348
77,1385.965
78,1485.057
79,1011.351
8,1538.536
80,1758.219
81,5874.869
82,2606.318
83,1957.213
84,1996.541
85,1492.886
86,1510.651
87,74.45
88,168.841
89,1496.772
9,1676.045
90,848.155
91,1486.78
92,1421.329
93,2585.909
94,1940.957
95,1517.287
96,1442.424
97,3209.437
98,854.238
99,1450.782
all,370148.17400000006
