query,latency_ms
0,2316.797
1,11624.764
10,144218.137
100,4704.895
101,3562.022
102,29980.582
103,2620.337
104,4050.698
105,19823.25
106,8198.346
107,38625.02
108,54784.075
109,8828.452
11,24628.856
110,8739.172
111,51222.828
112,324135.034
113,6081.766
114,3759.526
115,1418.36
116,8077.441
117,31072.62
118,5389.161
119,27995.507
12,6940.383
120,13497.94
121,5738.356
122,27161.41
123,14906.147
124,1774.961
125,46249.264
126,2247.261
127,10504.936
128,258.648
129,2077.419
13,7706.204
130,546.751
131,4030.441
132,1619.355
133,7501.785
134,9585.653
135,10260.369
136,298.942
137,177627.938
138,8699.759
139,207.953
14,374.796
140,4684.922
141,816.258
142,6786.644
143,1169.758
144,305.621
145,1817.384
146,4339.368
147,89976.179
148,13686.094
149,1621.903
15,3279.826
150,9686.952
151,251.65
152,8435.717
153,956.638
154,219.429
155,16064.721
156,23948.056
157,11503.136
158,18524.93
159,5862.133
16,121391.421
160,1687.069
161,246.438
162,210.065
163,63276.261
164,1706.8
165,6314.554
166,4049.162
167,1674.771
168,10830.892
169,26893.357
17,2818.95
170,10677.676
171,14923.637
172,16642.463
173,408217.172
174,13383.786
175,272.143
176,9651.854
177,296974.219
178,3981.038
179,17099.241
18,360.97
180,14737.335
181,39846.219
182,13460.608
183,30641.249
184,13491.066
185,2649.181
186,5419.264
187,13581.095
188,686.773
189,2330.195
19,26705.389
190,13878.625
191,3116.937
192,255837.113
193,27455.914
194,232283.837
195,12288.248
196,994721.77
197,13946.769
198,1762.53
199,32330.925
2,22144.695
20,4146.316
21,259.625
22,1994.27
23,15721.354
24,38442.69
25,13891.308
26,9413.093
27,27772.002
28,240116.571
29,222.84
3,2112.209
30,58854.454
31,205499.923
32,349.582
33,14186.38
34,53114.666
35,4189.559
36,20732.356
37,3919.531
38,5560.073
39,2085.942
4,9507.415
40,11939.626
41,4026.131
42,61018.041
43,2658.96
44,1757.203
45,51090.446
46,6298.363
47,18256.592
48,4173.041
49,2001.842
5,14459.102
50,1424.638
51,13992.834
52,14441.555
53,6048.624
54,860.675
55,981.573
56,67120.938
57,19059.372
58,532.453
59,4308.621
6,1003.872
60,4894.586
61,14212.536
62,11726.182
63,13133.785
64,236398.996
65,25805.742
66,19503.383
67,7670.835
68,27929.744
69,44355.715
7,2186.856
70,14488.5
71,286593.072
72,75440.878
73,14444.201
74,35825.398
75,7522.82
76,100391.475
77,34324.343
78,69177.418
79,925.018
8,10447.884
80,1044.737
81,1772.622
82,2896.369
83,715.693
84,418562.608
85,291.501
86,6063.328
87,23516.851
88,11407.902
89,350299.2
9,31671.196
90,255.775
91,8643.6
92,15989.576
93,852.738
94,31832.504
95,16646.265
96,12873.699
97,11243.713
98,3787.619
99,3995.465
all,7267520.301000001
