query,latency_ms
0,2961.045
1,3031.767
10,3336.794
100,2869.831
101,3042.195
102,3189.126
103,2710.446
104,2997.11
105,3276.206
106,8524.807
107,2938.218
108,2877.478
109,3023.31
11,2979.941
110,3124.512
111,2761.601
112,3070.121
113,3176.918
114,2911.68
115,2951.839
116,2927.447
117,2769.67
118,3999.727
119,3096.067
12,2895.756
120,4016.824
121,3157.109
122,3515.577
123,3474.872
124,2893.165
125,2837.644
126,3200.366
127,2702.24
128,2746.628
129,3030.781
13,3359.409
130,3308.684
131,2992.729
132,2703.156
133,2724.905
134,3479.627
135,2824.141
136,2724.561
137,2801.434
138,3148.538
139,2927.854
14,2840.246
140,2884.358
141,3482.53
142,2997.679
143,3075.359
144,2771.423
145,2747.873
146,2993.295
147,2766.415
148,2950.308
149,3265.343
15,2754.94
150,3047.208
151,2744.246
152,4688.389
153,3218.948
154,2795.741
155,3287.894
156,3391.682
157,2584.928
158,2806.022
159,2713.492
16,2753.324
160,2938.971
161,2565.182
162,3063.341
163,3113.273
164,2891.765
165,3784.654
166,3111.212
167,2828.972
168,2631.951
169,3068.824
17,3236.525
170,2885.036
171,3701.484
172,2608.683
173,3196.323
174,3111.161
175,2960.937
176,3084.018
177,2955.875
178,3132.901
179,3183.491
18,2787.846
180,3109.543
181,3048.04
182,2608.654
183,3704.518
184,2649.199
185,3598.429
186,2860.378
187,2826.198
188,2775.221
189,3810.312
19,2902.129
190,2891.304
191,3012.028
192,3008.831
193,2925.696
194,2619.09
195,3072.872
196,3030.703
197,2637.95
198,3166.934
199,3196.233
2,3005.462
20,3400.666
21,2852.473
22,3069.785
23,2912.469
24,2980.863
25,4916.473
26,2841.925
27,2943.085
28,3103.263
29,3189.004
3,3852.831
30,2996.265
31,2985.354
32,4792.142
33,5253.824
34,2778.608
35,4172.362
36,3351.041
37,3324.338
38,2865.048
39,2894.178
4,2811.293
40,2937.351
41,3097.262
42,2745.506
43,3066.261
44,2704.76
45,3924.929
46,2773.57
47,2829.105
48,2882.495
49,2872.217
5,2791.46
50,3244.345
51,2671.462
52,3236.022
53,2761.981
54,7072.972
55,3669.69
56,3138.298
57,3070.78
58,2827.54
59,3649.264
6,2981.811
60,2910.268
61,2859.584
62,2964.834
63,2963.857
64,3091.591
65,2667.571
66,2767.253
67,2902.669
68,2843.647
69,2780.454
7,2945.614
70,2847.214
71,2792.069
72,3194.705
73,3294.263
74,2708.259
75,3302.873
76,3774.001
77,2891.485
78,2637.222
79,2845.858
8,2797.482
80,2585.851
81,2904.905
82,3263.604
83,2964.802
84,4088.032
85,2888.461
86,2834.232
87,2775.362
88,3128.116
89,3230.557
9,2872.653
90,4265.604
91,2693.183
92,3855.54
93,3178.246
94,5161.977
95,2641.121
96,3009.967
97,2940.268
98,3286.917
99,3965.798
all,627431.9880000002
