query,latency_ms
0,120.678
1,130.1
10,458.65
100,60.982
101,254.206
102,167.673
103,70.142
104,413.126
105,162.162
106,127.479
107,88.18
108,120.857
109,103.019
11,94.816
110,208.965
111,189.231
112,175.824
113,175.066
114,1168.759
115,442.422
116,62601.014
117,109.5
118,436.462
119,139.852
12,127.558
120,132.756
121,46.541
122,81.195
123,179.635
124,85.551
125,166.557
126,89.369
127,332.256
128,275.776
129,87.82
13,143.259
130,167.39
131,121.97
132,133.242
133,109.399
134,123.711
135,127.373
136,91.389
137,66.47
138,122.542
139,2593.327
14,858.569
140,103.138
141,3266.832
142,110.316
143,156.509
144,551.759
145,799.207
146,98.711
147,113.805
148,264.693
149,136.034
15,86.799
150,157.031
151,445374.083
152,597.755
153,2232.721
154,89.784
155,168.861
156,81.349
157,63.891
158,318.118
159,66.939
16,60.084
160,250.48
161,174.555
162,126.442
163,329.799
164,333.363
165,510.337
166,18532.338
167,23.833
168,226.034
169,93.137
17,76.654
170,700.346
171,157.453
172,176.111
173,125.553
174,4856.83
175,120.251
176,175.283
177,52.814
178,126.541
179,129.786
18,116.355
180,352.901
181,97.539
182,47.091
183,301.829
184,44.051
185,246.11
186,53.551
187,155.892
188,111.406
189,156.066
19,155.192
190,901.219
191,4024.916
192,225.782
193,181.43
194,114.818
195,2044.931
196,122.887
197,166.63
198,132.81
199,361.911
2,82.663
20,22.213
21,29730.774
22,116.99
23,302.282
24,311.052
25,285.105
26,142.938
27,128990.575
28,201.065
29,94.937
3,158.345
30,182.516
31,170.542
32,85.8
33,162.49
34,506.409
35,535.933
36,424.677
37,132.302
38,150.781
39,176.463
4,126.123
40,125.37
41,115.196
42,152.308
43,224.23
44,5369.546
45,3416.937
46,136.801
47,104.405
48,109.29
49,67.951
5,63.151
50,106.463
51,122.035
52,111.504
53,93.27
54,188.791
55,125.052
56,167.015
57,186.953
58,18.529
59,87.645
6,10177.297
60,409189.269
61,91.007
62,57.461
63,36.573
64,125.402
65,234.766
66,78.159
67,87.492
68,459.075
69,114.921
7,85.531
70,82.029
71,351625.329
72,693822.268
73,134.357
74,725.251
75,127.557
76,67.014
77,73.128
78,112.303
79,78.443
8,228.617
80,232.893
81,157.903
82,300.222
83,91.773
84,103.211
85,87.926
86,70.653
87,128.175
88,67.038
89,67.834
9,300311.875
90,1496.116
91,143.071
92,101.197
93,106.545
94,104.844
95,174.192
96,115.297
97,123.388
98,905.415
99,93.823
all,2513576.5529999994
