query,latency_ms
0,181.386
1,265.218
10,4939.542
100,3105.0
101,339.816
102,293.278
103,700.999
104,273.103
105,457.803
106,161.159
107,110.52
108,965.729
109,394.529
11,269.757
110,743.742
111,164.464
112,392.259
113,1394.368
114,70.019
115,451.688
116,8267.967
117,20788.079
118,131.879
119,271.414
12,3913.339
120,367.649
121,509.348
122,178.385
123,74.45
124,117.935
125,6455.809
126,13075.418
127,125.291
128,885.469
129,234.903
13,180.548
130,10295.194
131,292.851
132,2080.104
133,495.422
134,5744.742
135,1020.219
136,15253.672
137,243.371
138,256.653
139,5165.692
14,527.754
140,2515.079
141,271.429
142,230.76
143,418.504
144,300.12
145,417.582
146,7603.19
147,245.149
148,2244.662
149,331.715
15,262.485
150,929173.314
151,180.203
152,8699.852
153,2338.341
154,358.26
155,517.087
156,4413.284
157,148.0
158,1722.648
159,280.46
16,7160.878
160,2053.683
161,196.912
162,220.05
163,481.765
164,4505.605
165,5342.158
166,6120.678
167,272.057
168,393.373
169,1588.563
17,3810.843
170,669.562
171,277.526
172,180.463
173,438.008
174,9316.002
175,1277.704
176,24511.693
177,45.739
178,800.173
179,286.075
18,863.56
180,9548.97
181,260.441
182,23638.046
183,206.107
184,23953.409
185,1107.289
186,114.664
187,17798.656
188,484.889
189,958.931
19,134.801
190,15967.738
191,188.458
192,34991.282
193,2943.329
194,352.05
195,125.515
196,2840.932
197,47947.879
198,4435.695
199,4920.496
2,171.853
20,357.168
21,3026.738
22,4509.39
23,2234.385
24,189.654
25,126.47
26,225.324
27,87.263
28,253.379
29,259.444
3,2164.113
30,188.359
31,652.525
32,37487.712
33,255.098
34,15626.849
35,2502.511
36,1133.966
37,307.413
38,479.355
39,261308.581
4,270.1
40,160.685
41,114.159
42,240.201
43,191.515
44,157.716
45,261.2
46,32708.347
47,1183.211
48,289.886
49,37100.071
5,275.246
50,2647.13
51,239.697
52,133.705
53,149.201
54,405.085
55,1256.91
56,3794.14
57,297.766
58,627.519
59,383066.793
6,361.587
60,264.112
61,3529.048
62,345.633
63,184.7
64,212.67
65,1737.768
66,2170.532
67,192.43
68,924.875
69,16221.877
7,1416451.482
70,187.317
71,585.513
72,1247532.037
73,470.365
74,1455.275
75,240.659
76,7637.208
77,1084.681
78,7240.118
79,386.432
8,3532.827
80,503.082
81,417.343
82,170.402
83,35653.852
84,7738.484
85,1332.862
86,235.772
87,478.722
88,103.393
89,473.31
9,130.652
90,2547.635
91,23984.245
92,197.904
93,18666.004
94,903.245
95,148.729
96,1191.904
97,36312.824
98,329.87
99,188.045
all,4982807.964999999
