query,latency_ms
0,82.803
1,60.731
10,47.39
100,99.441
101,93.661
102,96.324
103,65.486
104,125.471
105,127.528
106,105.714
107,131.939
108,109.91
109,232.191
11,87.373
110,71.077
111,169.803
112,128.377
113,115.122
114,70.268
115,85.924
116,155.019
117,105.32
118,181.918
119,65.872
12,86.101
120,34.588
121,105.244
122,69.601
123,34.54
124,69.227
125,175.464
126,203.884
127,75.849
128,152.1
129,111.201
13,198.403
130,62.731
131,53.254
132,196.034
133,183.891
134,109.428
135,120.787
136,92.188
137,86.852
138,62.432
139,85.67
14,117.73
140,83.888
141,101.294
142,70.952
143,30.987
144,231.801
145,79.894
146,57.651
147,162.487
148,105.977
149,136.767
15,77.222
150,131.755
151,79.326
152,191.59
153,65.764
154,99.3
155,122.124
156,65.188
157,111.903
158,160.015
159,69.135
16,86.836
160,53.822
161,173.681
162,44.305
163,97.421
164,293.539
165,113.648
166,50.966
167,84.65
168,102.535
169,42.912
17,129.484
170,53.635
171,102.31
172,80.728
173,252.374
174,205.51
175,184.137
176,75.124
177,162.063
178,108.919
179,228.751
18,24.27
180,170.994
181,80.22
182,64.986
183,66.258
184,39.857
185,63.297
186,80.693
187,120.278
188,74.711
189,133.364
19,86.764
190,87.97
191,145.282
192,110.589
193,51.457
194,43.266
195,174.435
196,67.655
197,112.998
198,38.453
199,129.752
2,79.69
20,198.068
21,168.056
22,33.007
23,132.13
24,129.076
25,171.293
26,222.799
27,34.727
28,62.166
29,126.94
3,76.546
30,114.053
31,94.904
32,43.058
33,119.308
34,43.978
35,214.068
36,63.138
37,54.31
38,45.255
39,134.131
4,89.711
40,190.765
41,90.832
42,134.094
43,95.88
44,109.344
45,108.482
46,83.314
47,148.072
48,198.992
49,49.074
5,100.477
50,212.23
51,99.453
52,66.238
53,68.803
54,63.229
55,152.102
56,70.969
57,91.581
58,177.539
59,248.866
6,144.887
60,123.772
61,114.995
62,155.942
63,62.432
64,103.053
65,230.859
66,117.952
67,74.989
68,64.86
69,58.191
7,124.935
70,67.457
71,148.916
72,56.023
73,88.924
74,169.097
75,147.3
76,37.215
77,274.776
78,56.356
79,56.721
8,174.735
80,108.144
81,21.876
82,82.336
83,41.851
84,74.329
85,151.046
86,84.298
87,86.826
88,141.832
89,98.961
9,165.748
90,118.274
91,111.627
92,79.238
93,61.777
94,82.454
95,149.654
96,254.816
97,104.476
98,99.792
99,271.015
all,22087.284999999996
