query,latency_ms
0,38.789
1,102.319
10,687.03
100,124.84
101,109.042
102,47.586
103,3605.882
104,79.688
105,658.827
106,127.755
107,88.017
108,342.092
109,995.929
11,122.531
110,17638.146
111,92.173
112,343.55
113,97.763
114,57.69
115,116.046
116,1690.501
117,26819.24
118,130.473
119,59.066
12,47.714
120,122.27
121,114.707
122,842.141
123,150.768
124,83.848
125,82.966
126,100.941
127,73.067
128,1601.476
129,60.053
13,194.218
130,99.085
131,67.183
132,126.167
133,208.521
134,80.988
135,71.275
136,45.809
137,140.331
138,257.57
139,40.229
14,142.289
140,79.04
141,151.937
142,40.089
143,26.502
144,103.268
145,58.647
146,56.13
147,46.063
148,166.576
149,71.293
15,117.364
150,103.023
151,56.229
152,86.373
153,249.662
154,42.439
155,125.674
156,606.444
157,92.482
158,107.59
159,144.228
16,27414.3
160,57.957
161,1142.09
162,129.905
163,152.843
164,110.062
165,50.486
166,63.164
167,96.253
168,70.288
169,85.484
17,106.113
170,51.796
171,50.442
172,89.925
173,101.025
174,5498.961
175,286.615
176,158.71
177,119.344
178,50.044
179,63.144
18,54.545
180,114.743
181,72.015
182,19.305
183,289.749
184,117.482
185,111.058
186,1591.804
187,51.563
188,145.821
189,133.559
19,74.302
190,88.701
191,67.289
192,111.803
193,79.151
194,147.92
195,90.34
196,56.19
197,470.976
198,131.213
199,112.594
2,62.818
20,38.395
21,95.887
22,94.558
23,260.578
24,268.71
25,146.72
26,155.928
27,102.425
28,97.442
29,128.986
3,111.126
30,51.695
31,22.706
32,76.599
33,109.217
34,56.981
35,1050.734
36,114.369
37,110.942
38,47.829
39,128.213
4,94.642
40,35.596
41,60.54
42,308.469
43,244.578
44,38.714
45,15.051
46,85.976
47,98.907
48,71.551
49,62.262
5,152.051
50,129.218
51,41.967
52,229.542
53,104.559
54,398.898
55,51.673
56,104.371
57,75.414
58,88.361
59,239.26
6,56.284
60,665.914
61,105.495
62,114.864
63,80.302
64,525.336
65,853.697
66,84.746
67,107.197
68,103.544
69,172.454
7,50.423
70,176.603
71,77.87
72,1095.714
73,133.746
74,52.28
75,357.946
76,41.665
77,1048.08
78,55.621
79,106.927
8,77.782
80,137.866
81,285.041
82,410.977
83,78.646
84,98.356
85,128.539
86,101.049
87,171.302
88,286.782
89,82.53
9,344.899
90,71.929
91,78.921
92,72.477
93,54.218
94,51.499
95,108.026
96,62.949
97,76.564
98,67.682
99,114.959
all,116634.87699999995
