query,latency_ms
0,107.497
1,107.781
10,65.017
100,121.759
101,93.694
102,88.891
103,74.531
104,75.763
105,67.685
106,48.857
107,84.903
108,79.553
109,86.146
11,88.935
110,87.741
111,85.503
112,89.474
113,83.287
114,42.804
115,137.173
116,76.168
117,86.748
118,73.613
119,64.456
12,72.19
120,21.436
121,91.8
122,142.946
123,17.391
124,83.393
125,35.194
126,88.689
127,77.412
128,86.231
129,89.883
13,91.825
130,36.709
131,82.706
132,156.577
133,84.311
134,11.614
135,57.759
136,89.602
137,88.548
138,64.007
139,113.006
14,79.446
140,61.548
141,50.691
142,80.297
143,81.856
144,170.582
145,74.014
146,78.982
147,101.463
148,99.777
149,110.418
15,117.437
150,72.287
151,87.254
152,75.451
153,120.715
154,36.486
155,108.688
156,16.888
157,70.483
158,83.492
159,68.139
16,72.995
160,64.601
161,101.174
162,89.524
163,85.055
164,71.609
165,83.943
166,77.197
167,91.093
168,95.847
169,32.784
17,78.75
170,88.539
171,91.743
172,90.595
173,79.461
174,78.982
175,64.727
176,62.531
177,58.345
178,26.455
179,74.925
18,78.598
180,95.15
181,89.914
182,47.545
183,78.917
184,70.454
185,89.317
186,100.486
187,96.553
188,26.138
189,95.047
19,69.371
190,115.974
191,15.167
192,61.422
193,90.194
194,76.703
195,119.589
196,19.579
197,109.909
198,214.079
199,77.24
2,109.72
20,76.729
21,71.918
22,23.988
23,144.279
24,97.633
25,69.944
26,33.251
27,54.846
28,85.031
29,42.875
3,77.565
30,74.615
31,100.936
32,51.418
33,28.873
34,98.466
35,44.583
36,90.361
37,73.132
38,91.932
39,99.179
4,85.764
40,82.11
41,78.811
42,73.251
43,71.669
44,10.945
45,85.924
46,45.178
47,72.016
48,203.721
49,91.716
5,73.416
50,75.899
51,145.509
52,33.377
53,69.891
54,72.076
55,98.052
56,82.8
57,75.012
58,20.174
59,94.509
6,89.302
60,48.588
61,93.112
62,94.484
63,96.072
64,121.561
65,55.911
66,105.258
67,89.909
68,79.927
69,75.194
7,21.504
70,109.571
71,75.025
72,112.973
73,87.151
74,117.043
75,74.42
76,75.427
77,74.774
78,95.281
79,81.081
8,35.449
80,70.881
81,84.479
82,133.038
83,21.216
84,90.791
85,51.034
86,68.258
87,64.728
88,98.843
89,100.885
9,93.597
90,20.859
91,90.235
92,62.086
93,90.584
94,89.193
95,47.793
96,40.882
97,85.936
98,91.613
99,79.988
all,15914.852999999988
